SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,Claim_Count,Serious_Rate
301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,653.1326,1200,0.040020523
302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,186.949,1800,0.040020523
303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,265.3446,2000,0.040020523
304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,269.6511,900,0.040020523
305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,81.7394,1700,0.040020523
306,Cairns,3RQLD,Rest of Qld,3,Queensland,21337.9683,714,0.105042017
307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,166340.0568,265,0.173584906
308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,117588.0014,404,0.128712871
309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,1857.8854,3225,0.047131783
310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,6681.1469,1588,0.064861461
311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,2586.1453,2218,0.049143372
312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,90140.106,372,0.153225806
313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,4344.4565,900,0.058229352
314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,773.3949,783,0.058229352
315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,1183182.72,110,0.209090909
316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,3085.9114,1342,0.076751118
317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,2258.7955,461,0.093275488
318,Townsville,3RQLD,Rest of Qld,3,Queensland,80036.0977,561,0.092691622
319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,48502.5801,804,0.123134328
